package,in_degree_centrality,out_degree_centrality,betweenness,pagerank,in_degree_centrality_norm,betweenness_norm,pagerank_norm,criticality_index,risk_score,combined_score,criticality_rank
apache-airflow-providers-standard,0.00948938,0.02869408,0.00000003,0.00015874,0.01925722,0.00416089,0.00037463,0.00642047,0.48447240,0.24717502,302
google-resumable-media,0.00451875,0.00022594,0.00000000,0.00017559,0.00917011,0.00000000,0.00055795,0.00251570,0.48938863,0.24662947,303
wheel,0.00361500,0.00022594,0.00000000,0.00031858,0.00733608,0.00000000,0.00211388,0.00267957,0.48866539,0.24639391,304
ipython-pygments-lexers,0.00542250,0.00022594,0.00000000,0.00019563,0.01100413,0.00000000,0.00077606,0.00306146,0.48697060,0.24584027,305
safetensors,0.00542250,0.00000000,0.00000000,0.00020855,0.01100413,0.00000000,0.00091662,0.00311768,0.48666709,0.24573176,306
arrow,0.00474469,0.00067781,0.00000000,0.00023671,0.00962861,0.00000000,0.00122304,0.00289637,0.48271802,0.24358699,307
invoke,0.00429282,0.00000000,0.00000000,0.00023598,0.00871160,0.00000000,0.00121504,0.00266392,0.48191296,0.24300565,308
uritemplate,0.00429282,0.00000000,0.00000000,0.00021121,0.00871160,0.00000000,0.00094557,0.00255613,0.48017034,0.24205142,309
jupyter-client,0.00497063,0.00158156,0.00000000,0.00017791,0.01008712,0.00000000,0.00058327,0.00275509,0.47985254,0.24204557,310
imagesize,0.00610032,0.00000000,0.00000000,0.00024696,0.01237964,0.00000000,0.00133457,0.00362874,0.47809174,0.24183721,311
deprecation,0.00497063,0.00022594,0.00000000,0.00022008,0.01008712,0.00000000,0.00104210,0.00293862,0.47843160,0.24147627,312
tinycss2,0.00474469,0.00022594,0.00000000,0.00025627,0.00962861,0.00000000,0.00143590,0.00298151,0.47827439,0.24143067,313
prettytable,0.00519657,0.00022594,0.00000000,0.00031385,0.01054562,0.00000000,0.00206237,0.00346135,0.47706179,0.24119348,314
nbformat,0.00497063,0.00225938,0.00000000,0.00018256,0.01008712,0.00000000,0.00063382,0.00277531,0.47791926,0.24109448,315
filetype,0.00564844,0.00000000,0.00000000,0.00023236,0.01146263,0.00000000,0.00117567,0.00333593,0.47695110,0.24104165,316
brotli,0.00474469,0.00000000,0.00000000,0.00027461,0.00962861,0.00000000,0.00163543,0.00306132,0.47726157,0.24098565,317
absl-py,0.00519657,0.00000000,0.00000000,0.00047367,0.01054562,0.00000000,0.00380139,0.00415696,0.47533910,0.24086721,318
griffe,0.00542250,0.00067781,0.00000010,0.00016599,0.01100413,0.01664355,0.00045353,0.00875769,0.46668758,0.24008047,319
sphinxcontrib-serializinghtml,0.00587438,0.00000000,0.00000000,0.00024511,0.01192114,0.00000000,0.00131440,0.00350604,0.47419624,0.23979508,320
alabaster,0.00587438,0.00000000,0.00000000,0.00024511,0.01192114,0.00000000,0.00131440,0.00350604,0.47322429,0.23930910,321
sphinxcontrib-qthelp,0.00587438,0.00000000,0.00000000,0.00024511,0.01192114,0.00000000,0.00131440,0.00350604,0.47201777,0.23870584,322
langchain,0.00271125,0.00745594,0.00000027,0.00014448,0.00550206,0.04383792,0.00021951,0.01680659,0.45153124,0.23869377,323
sphinxcontrib-htmlhelp,0.00587438,0.00000000,0.00000000,0.00024511,0.01192114,0.00000000,0.00131440,0.00350604,0.47198388,0.23868890,324
llvmlite,0.00474469,0.00000000,0.00000000,0.00048016,0.00962861,0.00000000,0.00387199,0.00395595,0.47125591,0.23867099,325
sphinxcontrib-applehelp,0.00587438,0.00000000,0.00000000,0.00024511,0.01192114,0.00000000,0.00131440,0.00350604,0.47194006,0.23866699,326
sphinxcontrib-devhelp,0.00587438,0.00000000,0.00000000,0.00024511,0.01192114,0.00000000,0.00131440,0.00350604,0.47192274,0.23865833,327
sphinxcontrib-jsmath,0.00587438,0.00000000,0.00000000,0.00024511,0.01192114,0.00000000,0.00131440,0.00350604,0.47146931,0.23843161,328
semver,0.00451875,0.00000000,0.00000000,0.00024884,0.00917011,0.00000000,0.00135505,0.00283455,0.47138185,0.23787134,329
orderly-set,0.00474469,0.00000000,0.00000000,0.00022479,0.00962861,0.00000000,0.00109336,0.00284450,0.47071687,0.23754651,330
jupyter-events,0.00293719,0.00542250,0.00000061,0.00014373,0.00596057,0.09986130,0.00021136,0.03652614,0.41840446,0.23729926,331
mashumaro,0.00519657,0.00022594,0.00000000,0.00020748,0.01054562,0.00000000,0.00090501,0.00299841,0.46983467,0.23722380,332
pyproject-hooks,0.00384094,0.00000000,0.00000000,0.00022550,0.00779459,0.00000000,0.00110105,0.00238907,0.47021485,0.23694517,333
mmh3,0.00451875,0.00000000,0.00000000,0.00016417,0.00917011,0.00000000,0.00043375,0.00246603,0.46973547,0.23676468,334
transformers,0.00361500,0.00610032,0.00000008,0.00016186,0.00733608,0.01331484,0.00040858,0.00665765,0.46260889,0.23642572,335
numba,0.00451875,0.00045188,0.00000000,0.00033695,0.00917011,0.00000000,0.00231376,0.00321803,0.46705587,0.23600334,336
jupyter-server,0.00271125,0.01378220,0.00000061,0.00014176,0.00550206,0.09986130,0.00018987,0.03640292,0.41593786,0.23597117,337
zope-interface,0.00451875,0.00000000,0.00000000,0.00044414,0.00917011,0.00000000,0.00348001,0.00368453,0.46607475,0.23587163,338
google-cloud-storage,0.00338906,0.00429282,0.00000000,0.00015488,0.00687758,0.00000000,0.00033266,0.00185246,0.46723940,0.23504467,339
bleach,0.00429282,0.00022594,0.00000000,0.00016587,0.00871160,0.00000000,0.00045219,0.00235878,0.46381570,0.23372229,340
joserfc,0.00384094,0.00090375,0.00000000,0.00018369,0.00779459,0.00000000,0.00064610,0.00220709,0.46345798,0.23342675,341
cattrs,0.00406688,0.00067781,0.00000000,0.00029580,0.00825309,0.00000000,0.00186598,0.00280966,0.46223814,0.23328035,342
argon2-cffi-bindings,0.00429282,0.00045188,0.00000000,0.00022074,0.00871160,0.00000000,0.00104932,0.00259763,0.46241199,0.23320417,343
humanfriendly,0.00451875,0.00000000,0.00000000,0.00031033,0.00917011,0.00000000,0.00202408,0.00310216,0.46076751,0.23277003,344
google-cloud-bigquery,0.00248531,0.00542250,0.00000034,0.00014566,0.00504356,0.05478502,0.00023232,0.02052857,0.43374800,0.23266521,345
roman-numerals,0.00610032,0.00000000,0.00000000,0.00035077,0.01237964,0.00000000,0.00246406,0.00408053,0.45891955,0.23259865,346
ormsgpack,0.00451875,0.00000000,0.00000000,0.00017488,0.00917011,0.00000000,0.00055030,0.00251265,0.46120880,0.23253720,347
parsedatetime,0.00497063,0.00000000,0.00000000,0.00018761,0.01008712,0.00000000,0.00068875,0.00279728,0.45959079,0.23194715,348
cyclopts,0.00384094,0.00000000,0.00000000,0.00014565,0.00779459,0.00000000,0.00023228,0.00204156,0.46064169,0.23189127,349
humanize,0.00429282,0.00000000,0.00000000,0.00023575,0.00871160,0.00000000,0.00121261,0.00266294,0.45926943,0.23168313,350
authlib,0.00361500,0.00112969,0.00000000,0.00015700,0.00733608,0.00000000,0.00035569,0.00197630,0.46020252,0.23162149,351
virtualenv,0.00271125,0.00112969,0.00000000,0.00017921,0.00550206,0.00000000,0.00059733,0.00161445,0.46026063,0.23137220,352
dbt-core,0.00338906,0.01129688,0.00000010,0.00014793,0.00687758,0.01664355,0.00025699,0.00764743,0.45085180,0.23130854,353
mccabe,0.00384094,0.00000000,0.00000000,0.00049028,0.00779459,0.00000000,0.00398206,0.00354147,0.45660793,0.23102817,354
multiprocess,0.00316313,0.00022594,0.00000000,0.00019885,0.00641907,0.00000000,0.00081107,0.00192920,0.45893644,0.23095221,355
rich-rst,0.00384094,0.00090375,0.00000000,0.00014565,0.00779459,0.00000000,0.00023228,0.00204156,0.45831563,0.23072824,356
langgraph-checkpoint,0.00429282,0.00655219,0.00000000,0.00016990,0.00871160,0.00000000,0.00049612,0.00237635,0.45760586,0.23063089,357
